Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
CBS,0.286,0.714,0.0,-0.6597,11,Wed Jun 06 06:18:04 +0000 2018,"""Horrific death"": New details on woman's hotel drowning during hurricane https://t.co/YvCYfJwGsI https://t.co/S30B1oSUrf"
CBS,0.0,0.874,0.126,0.3182,12,Wed Jun 06 06:06:01 +0000 2018,Republican John Cox secures his place in the California gubernatorial election alongside democrat Gavin Newsom. To… https://t.co/7Qz4gqdv5f
CBS,0.1,0.795,0.105,0.0258,13,Wed Jun 06 05:19:33 +0000 2018,SWAT Team called to home of Parkland shooting survivor and gun control activist David Hogg due to prank call. Hogg… https://t.co/LwYRx6UueU
CBS,0.0,0.824,0.176,0.4939,14,Wed Jun 06 04:50:01 +0000 2018,The first and newest Gerber babies reunited for an adorable photo that went viral. https://t.co/REy3PdjcW8 https://t.co/OjTFg0ZMWa
CBS,0.0,1.0,0.0,0.0,15,Wed Jun 06 04:28:52 +0000 2018,Democratic gubernatorial candidate Gavin Newsom advances to the November election in California.… https://t.co/tHLblThqda
CBS,0.0,0.85,0.15,0.5719,16,Wed Jun 06 04:02:51 +0000 2018,Rep. Kristi Noem has won the GOP primary race for South Dakota Governor. The AP projects she will run against presu… https://t.co/DxoiMe3tI4
CBS,0.0,0.812,0.188,0.5719,17,Wed Jun 06 03:48:56 +0000 2018,"Democratic Sen. Dianne Feinstein wins her party's California primary advancing to the general election and, possibl… https://t.co/nXYl2YuVLt"
CBS,0.0,1.0,0.0,0.0,18,Wed Jun 06 03:34:29 +0000 2018,"“There's a lot of women who decided they could meet a threshold of raising money,” says @LeslieSanchez of the recor… https://t.co/0Q0fvaZyez"
CBS,0.092,0.795,0.113,0.128,19,Wed Jun 06 03:00:41 +0000 2018,"Polls are now closed in California, where the unusual ""jungle primary"" means that one party could have no options o… https://t.co/4qx1rJiTEn"
CBS,0.0,0.833,0.167,0.5859,20,Wed Jun 06 03:00:00 +0000 2018,"Des Moines businessman Fred Hubbell as winner in the Iowa Democratic primary for governor, according to the AP. He… https://t.co/IitYBNGtAf"
CBS,0.0,1.0,0.0,0.0,21,Wed Jun 06 02:45:25 +0000 2018,"“Yes California is a big state, most anti-Trump state in the country. But where there are Republicans they are just… https://t.co/79oxm86fus"
CBS,0.179,0.821,0.0,-0.5423,22,Wed Jun 06 02:41:32 +0000 2018,"Snafu in Los Angeles County complicates #CaliforniaPrimary2018 as ""random issue"" leaves more than 100,000 voters of… https://t.co/4IHKRJXjt3"
CBS,0.0,1.0,0.0,0.0,23,Wed Jun 06 02:29:15 +0000 2018,The general election ballot is set in the U.S. Senate race in New Mexico: It’s Democratic Sen. Martin Heinrich vers… https://t.co/yXrdRCVHcu
CBS,0.13,0.87,0.0,-0.4019,24,Wed Jun 06 02:19:04 +0000 2018,"""Our latest CBS News Battleground Tracker shows if the election were held today nationally, the House would effecti… https://t.co/MUbHvNcCrF"
CBS,0.317,0.683,0.0,-0.8689,25,Wed Jun 06 02:14:38 +0000 2018,Renowned designer Kate Spade was found dead this morning in New York City of apparent suicide. Here’s a look back a… https://t.co/r6lASu8GZe
CBS,0.0,0.863,0.137,0.4019,26,Wed Jun 06 02:00:34 +0000 2018,The AP has called the Republican primary race for Senate in favor of Mississippi Sen. Roger Wicker.… https://t.co/BMUhc9jvti
CBS,0.157,0.843,0.0,-0.4063,27,Wed Jun 06 01:51:57 +0000 2018,"“If Democrats cannot flip a number of these seats, it presents an obstacle in terms of taking the House back in Nov… https://t.co/JoYY1nlOl4"
